,Unnamed: 0,Famous,Nviews,Popular,important,name,postId
0,0,0,11,0,0,עמית אביטן,'393025'
1,1,0,17,0,0,נטלי מורד,'392966'
2,2,0,16,0,0,רוני גוז,'392929'
3,3,0,29,0,0,עידו הרשקו,'392889'
4,4,0,29,0,0,ענבר תמיר,'392879'
5,5,0,19,0,0,רוני גוז,'392842'
6,6,0,23,0,0,דור שרטו,'392830'
7,7,0,31,0,0,ניב פונו,'392748'
8,8,0,33,0,0,אלון מלאך,'392736'
9,9,0,34,0,0,שירה וילד,'392678'
10,10,0,50,0,0,שני רחמים,'392647'
11,11,0,30,0,0,עמית אביטן,'392545'
12,12,0,43,0,0,מאיה סוסנוביק,'392490'
13,13,0,55,0,0,עמית אלבז,'392480'
14,14,0,34,0,0,הראל שלום מושיוף,'392410'
15,15,0,44,0,0,יהונתן אבקסיס,'392399'
16,16,0,62,0,0,יקטרינה דונצ'נקו,'392394'
17,17,0,36,0,0,יקטרינה דונצ'נקו,'392392'
18,18,0,29,0,0,גיא אלוביץ,'392377'
19,19,0,32,0,0,יונתן חזן,'392269'
20,20,0,40,0,0,עידו רפאל דהן,'392256'
21,21,0,25,0,0,Kobi Gal,'392210'
22,22,0,27,0,0,ניב פונו,'392185'
23,23,0,23,0,0,דניאל דינשטיין,'392176'
24,24,0,23,0,0,רוני גוז,'392171'
25,25,0,35,0,0,דור לוי,'392156'
26,26,0,36,0,0,עמית אביטן,'392121'
27,27,0,23,0,0,עידן ביבי,'392109'
28,28,0,44,0,0,מאור ביטון דור,'392098'
29,29,0,31,0,0,איתי אסרף,'392093'
30,30,0,23,0,0,עמית אביטן,'392090'
31,31,0,43,0,0,אלון שניידר,'392078'
32,32,0,35,0,0,ניב פונו,'391180'
33,33,0,32,0,0,אורי סלומון,'391165'
34,34,0,15,0,0,אמיר סולומון זהבי,'390836'
35,35,0,43,0,0,עידו הרשקו,'390479'
36,36,0,17,0,0,עמית אלבז,'390413'
37,37,0,18,0,0,הראל שלום מושיוף,'389879'
38,38,0,14,0,0,ענבר תמיר,'389848'
39,39,0,40,0,0,Kobi Gal,'388490'
40,40,0,51,0,0,איתי אסרף,'388320'
41,41,0,31,0,0,ירין בנימין,'388112'
42,42,0,32,0,0,ניב פונו,'387942'
43,43,0,23,0,0,מור לוי,'387921'
44,44,0,28,0,0,הראל שלום מושיוף,'385976'
45,45,0,69,0,0,אורי זלוטקין,'384572'
46,46,0,93,0,0,שחר שרה קרמר,'384486'
47,,0,6,0,0,ניב פונו,'393127'
